V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,randomNum,SawSurvey,i01p1_1_TEXT,dt01p1_1_TEXT,Q92,i02p2_1_TEXT,dt02p1_1_TEXT,i03p3_1_TEXT,dt03p1_1_TEXT,i04p4_1_TEXT,dp01p1_1_TEXT,i05p5_1_TEXT,dp02p1_1_TEXT,i06p6_1_TEXT,dp03p1_1_TEXT,i07p7_1_TEXT,dp04p1_1_TEXT,i08p8_1_TEXT,dp05p1_1_TEXT,i09p9_1_TEXT,dp06p1_1_TEXT,i10p10_1_TEXT,dp07p1_1_TEXT,i11p11_1_TEXT,dp08p1_1_TEXT,i12p12_1_TEXT,dp09p1_1_TEXT,i13p13_1_TEXT,dt01p2_1_TEXT,Q93,i14p14_1_TEXT,dt02p2_1_TEXT,i15p15_1_TEXT,dt03p2_1_TEXT,i16p16_1_TEXT,dp01p2_1_TEXT,i17p17_1_TEXT,dp02p2_1_TEXT,i18p18_1_TEXT,dp03p2_1_TEXT,i19p19_1_TEXT,dp04p2_1_TEXT,i20p20_1_TEXT,dp05p2_1_TEXT,i21p21_1_TEXT,dp06p2_1_TEXT,i22p22_1_TEXT,dp07p2_1_TEXT,i23p23_1_TEXT,dp08p2_1_TEXT,i24p24_1_TEXT,dp09p2_1_TEXT,i25p25_1_TEXT,dt01p3_1_TEXT,Q94,i26p26_1_TEXT,dt02p3_1_TEXT,i27p27_1_TEXT,dt03p3_1_TEXT,i28p28_1_TEXT,dp01p3_1_TEXT,i29p29_1_TEXT,dp02p3_1_TEXT,i30p30_1_TEXT,dp03p3_1_TEXT,i31p31_1_TEXT,dp04p3_1_TEXT,i32p32_1_TEXT,dp05p3_1_TEXT,i33p33_1_TEXT,dp06p3_1_TEXT,i34p34_1_TEXT,dp07p3_1_TEXT,i35p35_1_TEXT,dp08p3_1_TEXT,i36p36_1_TEXT,dp09p3_1_TEXT,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1ovbV25jvHzZegw,Default Response Set,Anonymous,,,128.227.143.224,0,2014-11-07 12:49:19,2014-11-09 17:12:24,1,78379,1,,,,,,,,,,,,,,,,,,,,,,,,,,sick and coughing.,his hat to a clown.,1,sunbathing on a towel,the boy on the ladder a letter for the board.,holding a corded drill in his hand.,drinks to the two suited men.,asking for money with a bowl.,the patient a drink while he was sitting in his bed.,fencing no one.,a bone to the dog.,fishing from the bank.,the drink to his wife at the dinner table.,hatching from an egg.,the young student a trophy.,hitchhiking in the country.,the customer her pepperoni pizza.,leaping with the leaping frog.,three hot dogs to the girl.,sailing on the sea.,a letter to her mother.,skating.,a letter to her daughter.,kneeling and looks sad.,the employee a five thousand dollar check.,,,,,,,,,,,,,,,,,,,,,,,,,,29.651596069336,-82.324798583984,-1,
R_UDOxIn2HSl9ngs1,Default Response Set,Anonymous,,,70.171.44.188,0,2014-11-09 22:33:46,2014-11-09 22:43:00,1,56191,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slipping on a banana peel.,the man a dress.,1,surfing. ,her father his paintbrush.,singing a song.,a Valentine to his crush.,playing Hide-and-go-seek behind the curtains.,his daughter a Birthday present.,trying to play.,snacks to the monkey.,washing his hair in the shower.,the carpenter a hammer. ,signing.,his student a certificate.,getting up from the chair. ,the pencil to his mother.,is sweating from the heat.,a T-shirt to the woman.,whistling a tune.,his girlfriend and e-mail.,winking.,an essay about her favorite singer.,typing on her typewriter.,the cab driver a tip.,29.573104858398,-82.407600402832,-1,
R_2wHqwW2yxEh4mc8,Default Response Set,Anonymous,,,72.188.186.160,0,2014-11-09 23:22:07,2014-11-09 23:34:48,1,67270,1,,,,,,,,,,,,,,,,,,,,,,,,,,sick with a cold,the clown his cowboy hat.,1,suntanning on the beach,a pair of scissors to the boy on the ladder.,going to fix something with a drill.,the men some glasses of wine.,"sitting on the floor, holding out a bowl for people to drop money in.",the sick man in the hospital some medicine.,fencing,a bone to her dog.,fishing on the beach,the cup of water to his wife since he already had some,being hatched from an egg,the little girl with a trophy,trying to hitchhike for a ride.,some pizza to the woman sitting by herself at the table.,jumping in the grass chasing the frog,a hot dog to a little girl standing in front of the hot dog stand.,parasailing in the ocean,a letter to her grandma through the mail,rollerblading outside.,a letter to her princess daughter.,kneeling on the floor looking sad.,his employee 5000 dollars.,,,,,,,,,,,,,,,,,,,,,,,,,,28.514297485352,-81.442901611328,-1,
R_0890WEoPsggMz2V,Default Response Set,Anonymous,,,128.227.7.142,0,2014-11-10 00:14:21,2014-11-10 00:33:27,1,59199,1,crawling towards the wall,the man a gun,1,roasting marshmallows in the bonfire while camping,the guitar to the singer,crying in overalls,flowers to her teacher,is falling off the ladder in a soccer uniform,a bouquet of flowers to the man in glasses while in math class,lounging on the bench waiting for the bus while wearing sunglasses,the baseball to the girl,smirking maybe giggling,the water jug to the girl on the other side of the table,skiing down the snowy slope,the Olympian first place ,smiling,a menu to the man who got stood up for his date,sneezing,a 2990 dollar car to a man,barked outside by the fence,a letter in the mail to her friend,a professional boxer and not wearing a shirt,a text message to the girl he likes,slapping the back of his hand,the guy with a 5 dollar bill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.651596069336,-82.324798583984,-1,
R_3PKnuYbwCNIe7qJ,Default Response Set,Anonymous,,,128.227.251.62,0,2014-11-12 19:32:10,2014-11-12 22:46:08,1,27604,1,crawling,the gun as evidence to the judge,1,making a campfire in the wilderness near his tent,the guitar to the woman holding the microphone sitting on the chair,crying,flowers to her teacher,falling of a ladder,flowers to her math teacher,sitting on a bench outside,a baseball to the other boy,pondering life,a pitcher of the drink on the table to the girl,skiing down a mountain,the athlete first place,smiling,the menu to the man sitting alone,coughing,the car to a man who bought it for $2990.,barking inside a room,mail to a pen pal,ready to fight,a king text message to his crush,clapping,five dollars to the working man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.651596069336,-82.324798583984,-1,
R_3lS9viuDZNcAotk,Default Response Set,Anonymous,,,72.216.7.228,0,2014-11-06 10:06:37,2014-11-06 10:06:54,0,95063,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_aY0ujJXUbJFRobP,Default Response Set,Anonymous,,,128.227.2.255,0,2014-11-06 12:55:40,2014-11-06 12:57:07,0,25266,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,showering,,,,,,,,,,,,,,,,-1,
R_2Vw05LjwliC0I3X,Default Response Set,Anonymous,,,98.180.29.12,0,2014-11-06 17:49:50,2014-11-06 17:50:46,0,44995,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_cYDrJjM1NEXPb13,Default Response Set,Anonymous,,,70.171.24.200,0,2014-11-06 18:42:10,2014-11-06 18:42:37,0,58579,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
R_8CiiG3m0ZFEVIbf,Default Response Set,Anonymous,,,70.171.20.210,0,2014-11-15 19:28:08,2014-11-18 09:09:23,1,37960,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slipping on the banana peel.,the dress to the man. ,1,standing up to surf on a surfboard through a tall wave. ,the painter standing on top of the ladder a smaller brush so that she could paint the smaller spaces on top of the doorway. ,singing a song loudly. ,a heart-shaped valentine to the girl. ,hiding underneath the curtains and peeking out to look at the chair. ,the little girl a present for Christmas. ,wagging his tail while looking at something in the grass. ,the bana to the monkey swinging on the branch. ,taking a shower and washing his hair. ,a hammer to the lady building the wood chair. ,waving hello to someone. ,the student with a first place certificate. ,standing up from the chair to pull up her pants. ,his mother a pencil so she could write down her recipe for tonight's dinner. ,wiping away sweat because the sun is burning hot. ,the last t-shirt to the customer.  ,whistling a song loudly. ,an email to the girl that he likes. ,winking pointedly at someone. ,a letter while sitting at her desk to her favorite male singer. ,typing and printing a paper on the typewriter. ,20 dollars to the taxi driver to pay for a taxi ride to the business meeting. ,29.651596069336,-82.324798583984,-1,
R_b2ix1IbU0yMCcHn,Default Response Set,Anonymous,,,68.105.170.62,0,2014-11-19 17:49:41,2014-11-19 18:03:20,1,4861,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slipping on a banana peel. ,the dress to the man. ,1,surfing. ,a paint brush to the boy on the ladder. ,singing.,a heart shaped card to the girl. ,hiding behind the chair in a curtain. ,his daughter a present. ,wagging his tail.,a banana to the monkey. ,washing his hair in the shower. ,a hammer to the architect. ,waving his right hand and smiling. ,the student with a certificate. ,standing in front of the chair. ,a pencil to his mother. ,sweating because of the hot sun. ,a short sleeved shirt to the man. ,whistling a tune. ,an e-mail on the computer to his girlfriend. ,winking his right eye. ,a letter to her favorite singer. ,typing on a typewriter. ,the taxi driver with cash. ,38,-97,-1,
